IBS1.bc1	IBS1.bc10	IBS1.bc11	IBS1.bc12	IBS1.bc13	IBS1.bc14	IBS1.bc15	IBS1.bc2	IBS1.bc4	IBS1.bc5	IBS1.bc6	IBS1.bc7	IBS1.bc8	IBS1.bc9	IBS2.bc1	IBS2.bc10	IBS2.bc11	IBS2.bc12	IBS2.bc13	IBS2.bc14	IBS2.bc15	IBS2.bc2	IBS2.bc3	IBS2.bc4	IBS2.bc5	IBS2.bc6	IBS2.bc7	IBS2.bc8	IBS2.bc9	IBS3.bc1	IBS3.bc10	IBS3.bc11	IBS3.bc12	IBS3.bc13	IBS3.bc14	IBS3.bc15	IBS3.bc2	IBS3.bc3	IBS3.bc4	IBS3.bc5	IBS3.bc6	IBS3.bc7	IBS3.bc8	IBS3.bc9	IBS4.bc1	IBS4.bc10	IBS4.bc11	IBS4.bc12	IBS4.bc13	IBS4.bc14	IBS4.bc15	IBS4.bc2	IBS4.bc3	IBS4.bc4	IBS4.bc5	IBS4.bc6	IBS4.bc7	IBS4.bc8	IBS4.bc9	IBS5.bc1	IBS5.bc10	IBS5.bc11	IBS5.bc12	IBS5.bc13	IBS5.bc14	IBS5.bc15	IBS5.bc2	IBS5.bc4	IBS5.bc5	IBS5.bc6	IBS5.bc7	IBS5.bc8	IBS5.bc9	IBS6.bc1	IBS6.bc10	IBS6.bc11	IBS6.bc12	IBS6.bc13	IBS6.bc14	IBS6.bc15	IBS6.bc2	IBS6.bc3	IBS6.bc4	IBS6.bc5	IBS6.bc6	IBS6.bc7	IBS6.bc8	IBS6.bc9	IBS7.bc1	IBS7.bc2	IBS7.bc3	IBS7.bc4	IBS7.bc5	IBS7.bc7	IBS7.bc8
0-14-0-20-45-22_sp002774355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0-14-0-80-42-15_sp002780005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-34-10_sp002773945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-10-36-19_sp002772535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-20-42-23_sp002796345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-20-45-26_sp002787155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-20-49-13_sp002796305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-14-0-65-60-17_sp002787815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1162T-S-0a-05_sp000964245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2_sp000403255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
